fid,id_plot,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire,pointeur,tablette
"48","10",10,vivant,3 - Blessures importantes (>600cm²),0 - Aucune branche endommagée,2 - Moyennement penché (>10°),,,true,Mao noir,2024/09/17 15:13:44,,,
"49","10",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Weko ,2024/09/17 15:15:11,,,
"50","10",50,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Tatiki,2024/09/17 15:16:24,,,
"51","10",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Bitatiki ,2024/09/17 15:17:15,,,
"52","10",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Yanboka,2024/09/17 15:19:05,,,
"53","10",15,vivant,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,,Palmier ?,2024/09/17 15:20:33,,,
"54","10",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 15:21:17,,,
"55","10",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Moni,2024/09/17 15:24:12,,,
"56","10",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamboka,2024/09/17 15:24:52,,,
"57","10",40,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao noir,2024/09/17 15:26:51,,,
"58","10",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao noir,2024/09/17 15:29:34,,,
"59","10",10,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao noir,2024/09/17 15:29:52,,,
"60","10",40,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Nuchi kossoe,2024/09/17 15:30:32,,,
"61","10",30,mort,,,,,,,,2024/09/17 15:31:50,,,
"62","10",45,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Mao noir,2024/09/17 15:32:23,,,
"63","10",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao noir,2024/09/17 15:34:00,,,
"64","10",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Podo tiki,2024/09/17 15:35:46,,,
"65","10",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Angelique,2024/09/17 15:36:49,,,
"66","10",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamboka,2024/09/17 15:38:14,,,
"67","10",50,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao noir,2024/09/17 15:39:24,,,
"68","9",60,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Karapa,2024/09/17 16:03:52,,,
"69","9",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Bofonteto,2024/09/17 16:04:32,,,
"70","9",15,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:05:55,,,
"71","9",20,intact,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,true,Mao noir,2024/09/17 16:07:05,,,
"72","9",25,vivant,3 - Blessures importantes (>600cm²),2 - Une ou plusieurs branches principales cassées ,1 - Légèrement penché (<10°),,,,Gamoun,2024/09/17 16:08:19,,,
"73","9",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamboka,2024/09/17 16:10:56,,,
"74","9",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Palmier ,2024/09/17 16:11:27,,,
"75","9",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,?,2024/09/17 16:11:46,,,
"76","9",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Podotiki,2024/09/17 16:12:42,,,
"77","9",80,intact,1 - Petites blessures (<200cm²),1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,"5426",false,true,Wacapou ,2024/09/17 16:15:42,,,
"78","9",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamichi,2024/09/17 16:18:26,,,
"79","9",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamichi,2024/09/17 16:19:50,,,
"80","9",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamboka,2024/09/17 16:22:42,,,
"81","9",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Pikimouni,2024/09/17 16:24:40,,,
"82","9",25,intact,1 - Petites blessures (<200cm²),0 - Aucune branche endommagée,0 - Arbre droit,,,,Weko,2024/09/17 16:25:06,,,
"83","9",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Danguili?,2024/09/17 16:26:26,,,
"84","9",15,intact,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,,Gangili,2024/09/17 16:27:24,,,
"85","9",10,vivant,0 - Aucune blessure,2 - Une ou plusieurs branches principales cassées ,0 - Arbre droit,,,,Amourette,2024/09/17 16:29:17,,,
"86","9",15,vivant,1 - Petites blessures (<200cm²),3 - Arbre étêté,2 - Moyennement penché (>10°),,,true,Mao rouge,2024/09/17 16:30:12,,,
"87","9",65,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:33:06,,,
"88","9",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Gangi,2024/09/17 16:35:54,,,
