fid,id_plot,type_piste,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire
"135","69",Piste secondaire,"15",vivant,0 - Aucune blessure,3 - Arbre étêté,2 - Moyennement penché (>10°),,,,Palmier ,2024/09/19 13:35:57,Doublon
"136","69",Piste secondaire,"30",vivant,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,,,2024/09/19 13:36:30,
"137","69",Piste secondaire,"40",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 13:36:51,
"138","69",Piste secondaire,"10",vivant,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,,,2024/09/19 13:37:17,
"139","69",Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 13:37:36,
"140","69",Piste secondaire,"45",vivant,"1 - Petites blessures (<200cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot noir ,2024/09/19 13:37:55,
"141","69",Piste secondaire,"35",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 13:38:18,
"142","69",Piste secondaire,"50",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 13:38:27,
"143","69",Piste secondaire,"10",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,2 - Moyennement penché (>10°),,,,,2024/09/19 13:38:34,
"144","32",Piste secondaire,"35",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 11:18:54,
"145","32",Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Angélique ,2024/09/19 11:19:32,
"146","32",Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 11:20:03,
"147","32",Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 11:20:16,
"148","32",Piste secondaire,"25",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 11:20:22,
"149","67",Piste secondaire,"20",vivant,"3 - Blessures importantes (>600cm²)
",,,,true,true,Balatafron,2024/09/19 12:28:57,
"150","67",Piste secondaire,"20",vivant,"1 - Petites blessures (<200cm²)
",1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,true,Mahot cigare,2024/09/19 12:29:41,
"151","67",Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,false,true,Mahot noir ,2024/09/19 12:30:08,
"152","67",Piste secondaire,"10",vivant,"2 - Blessures moyennes (200-600 cm²)
",3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/19 12:30:29,
"153","67",Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:30:49,
"154",,,"40",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,true,true,Courbaril ,2024/09/19 12:34:31,
"155",,,"25",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,false,true,Boko,2024/09/19 12:35:10,
"156",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,false,,Mahot noir,2024/09/19 12:35:23,
"157",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:35:52,
"158",,Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:13,
"159",,Piste secondaire,"18",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:18,
"160",,,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:24,
"161",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:30,
"162",,,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:36,
"163",,,"25",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:48,
"164",,,"25",mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:36:54,
"165",,Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:37:03,
"166",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:37:17,
"167",,,"30",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Mahot noir,2024/09/19 12:37:32,
"168",,,"90",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Yayamadou ,2024/09/19 12:38:07,
"169",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:38:35,
"170",,Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:38:40,
"171",,Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:38:46,
"172",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:38:52,
"173",,,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:39:00,
"174",,Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:39:05,
"175",,Piste secondaire,"25",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 12:39:11,
"176","29",Piste secondaire,"25",vivant,"3 - Blessures importantes (>600cm²)
",2 - Une ou plusieurs branches principales cassées ,1 - Légèrement penché (<10°),,,,,2024/09/19 13:00:19,
"177","29",Piste secondaire,"30",mort,"3 - Blessures importantes (>600cm²)
",3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/19 13:00:39,
"178","29",Piste secondaire,"10",vivant,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,,,2024/09/19 13:01:05,
"179","29",Piste secondaire,"10",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,3 - Arbre couché,,,,,2024/09/19 13:01:24,
"180","29",Piste secondaire,"30",exploité,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot noir,2024/09/19 13:02:18,
"181","29",Piste secondaire,"0",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/19 13:03:35,3 ou 4 arbres couchés sur la piste : gros dégâts 
